ht_ppg,ht_rpg,ht_apg,ht_spg,ht_bpg,ht_topg,ho_ppg,ho_rpg,ho_apg,ho_spg,ho_bpg,ho_topg,h_ortg,h_drtg,h_efg,h_tov,h_oreb,h_ftf,at_ppg,at_rpg,at_apg,at_spg,at_bpg,at_topg,ao_ppg,ao_rpg,ao_apg,ao_spg,ao_bpg,ao_topg,a_ortg,a_drtg,a_efg,a_tov,a_reb,a_ftf,act_spread,vegas_ou
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.489933,0.120009,0.217778,0.149888,98.5,44.8902,21.5976,7.5976,4.6707,12.6463,99.5,44.1098,23.7683,6.9756,4.7683,13.3537,107.415,109.205,0.452546,0.129618,0.312757,0.189815,-5,-7
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.46882,0.115174,0.205128,0.169265,98.4512,43.8902,20.9146,7.0488,4.4634,12.622,105.293,44.1585,23.9756,7.4512,4.8293,12.4146,105.72,113.23,0.501114,0.10597,0.275862,0.218263,-3,-17
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.497748,0.127868,0.211009,0.18018,98.5366,44.6707,24.0122,7.3293,4.6098,14.378,97.8171,41.7073,19.9268,7.9878,4.2683,13.3049,106.803,104.853,0.5475,0.118723,0.27957,0.2375,4,-8
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.495546,0.129755,0.202703,0.238307,91.8902,40.3659,21.2927,7.0122,4.6585,13.7683,101.207,43.5,21.7439,8.0366,4.3049,13.4024,102.187,112.459,0.520833,0.119523,0.274194,0.188725,-7,6
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.460586,0.14813,0.242291,0.231982,95.6951,41.8171,20.6341,7.8902,3.8293,14.3293,101.415,43.4634,23.4268,7.7439,5.378,13.9024,104.345,110.191,0.493719,0.114228,0.20197,0.18593,-4,-17
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.486239,0.149617,0.246512,0.220183,97.7561,40.9146,21.5976,8.1463,3.9878,14.2927,106.549,43.561,23.5732,8.3659,5.4756,14.6463,104.749,114.756,0.447991,0.13675,0.310044,0.217494,-7,-16
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.5179,0.13274,0.244898,0.181384,98.0244,42.3537,20.9268,7.0244,4.1463,13.3902,100.902,44.3415,23.7073,7.8415,4.5366,13.0488,106.587,110.283,0.512469,0.12665,0.225352,0.229426,-2,2
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.547281,0.127144,0.213115,0.13948,101.341,44.1829,20.3293,6.7073,3.9512,15.6098,105.049,41.1829,23.3171,8.6829,6.1951,12.5244,107.424,111.353,0.538194,0.113347,0.293839,0.275463,2,-22
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.523148,0.121632,0.186529,0.143519,105.219,42.2683,22.5122,8.0854,4.5244,12.5488,102.317,46.1463,22.3171,7.3415,3.8293,15.5122,112.093,108.935,0.523864,0.105826,0.186147,0.211364,6,18
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.494565,0.123953,0.254545,0.15,94.1585,44.061,20.1707,6.0854,5.4634,11.1707,97.3293,44.122,22.1341,6.122,5.3659,12.0366,102.462,105.796,0.440639,0.113512,0.235043,0.184932,-6,9
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.439732,0.117549,0.306452,0.238839,99.3537,43.4512,22.0244,6.7439,6.2195,12.5976,98.561,41.5488,20.7317,6.7683,5.7927,11.7927,110.593,109.599,0.5,0.132056,0.245283,0.198547,6,-8
101.366,43.8415,24.5,8.2195,3.5854,13.2683,101.207,44.6951,21.9268,7.1098,5.2561,14.5732,106.534,106.924,0.454128,0.113,0.293617,0.238532,102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.503685,0.133429,0.233184,0.230958,6,14
